/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Experiment/pyflow/output/HoChiMinhTraffic_10FPS_320/timing/HoChiMinhTraffic_10FPS_320_P15.txt
Image Warp,Pyramid Construction,Total Run,[P0],[P10],[P11],[P12],[P13],[P14],[P1],[P2],[P3],[P4],[P5],[P6],[P7],[P8],[P9]
0.010301,0.028001,0.908151,0.336410,0.002971,0.001811,0.001078,0.000630,0.000234,0.189270,0.120466,0.075985,0.055787,0.035153,0.021746,0.013779,0.008572,0.005590
0.008548,0.027096,0.844514,0.299873,0.003023,0.001823,0.001213,0.000830,0.000229,0.180650,0.119714,0.076248,0.048675,0.030412,0.018907,0.013235,0.008423,0.005278
0.009974,0.022885,0.821567,0.283882,0.002410,0.001458,0.000869,0.000560,0.000277,0.184386,0.118004,0.075994,0.047575,0.032481,0.017970,0.011088,0.006975,0.004525
0.008350,0.026401,0.830790,0.286613,0.003153,0.001827,0.001041,0.000619,0.000227,0.183651,0.124914,0.074203,0.047426,0.029538,0.018303,0.011483,0.007533,0.005136
0.008518,0.022272,0.819919,0.280699,0.002426,0.001463,0.000847,0.000500,0.000186,0.190326,0.117595,0.076125,0.047813,0.030079,0.018041,0.011026,0.007330,0.004390
0.008359,0.023544,0.829017,0.292150,0.002652,0.001699,0.001005,0.000595,0.000220,0.186830,0.120310,0.074812,0.047091,0.029088,0.017788,0.011239,0.006842,0.004517
0.008734,0.023747,0.851232,0.311695,0.002817,0.001737,0.001003,0.000603,0.000236,0.190332,0.117508,0.073954,0.046683,0.029266,0.018317,0.011686,0.007817,0.004787
0.008662,0.022619,0.877369,0.305938,0.002525,0.001496,0.000890,0.000533,0.000194,0.199591,0.132515,0.082133,0.049142,0.029805,0.018279,0.011327,0.007040,0.004384
0.009011,0.022795,0.849361,0.312782,0.002557,0.001565,0.000976,0.000589,0.000214,0.180994,0.117819,0.074870,0.049799,0.034370,0.018058,0.011334,0.006955,0.004366
0.009937,0.027433,0.904874,0.319944,0.003012,0.001852,0.001075,0.000648,0.000237,0.186985,0.119441,0.091937,0.057543,0.035513,0.021871,0.013404,0.008343,0.005224
0.009044,0.026982,0.935051,0.337374,0.002990,0.001850,0.001172,0.000669,0.000272,0.197913,0.138218,0.086939,0.051637,0.031185,0.021530,0.013241,0.008452,0.005182
0.010997,0.026531,0.939345,0.335733,0.002962,0.001770,0.001065,0.000612,0.000227,0.218029,0.138717,0.074628,0.048183,0.031845,0.020634,0.013471,0.008270,0.005247
0.011124,0.033950,0.996625,0.370229,0.003261,0.001905,0.001195,0.000820,0.000265,0.198288,0.137104,0.091020,0.058636,0.036734,0.023040,0.014014,0.008582,0.006013
0.008515,0.029627,0.895544,0.285562,0.002989,0.001891,0.001121,0.000658,0.000242,0.203739,0.128493,0.085400,0.058668,0.037783,0.022450,0.014054,0.008503,0.005458
0.008613,0.022797,0.822519,0.283973,0.002424,0.001465,0.000861,0.000512,0.000190,0.187934,0.119045,0.076524,0.047462,0.029861,0.018129,0.011163,0.006854,0.004435
0.008844,0.025335,0.877353,0.318828,0.002818,0.001700,0.001012,0.000597,0.000223,0.193311,0.129800,0.076845,0.047710,0.029339,0.017873,0.011189,0.006890,0.004748
0.008884,0.024801,0.968175,0.354393,0.002887,0.001794,0.001089,0.000616,0.000226,0.224136,0.140820,0.085112,0.050114,0.030129,0.018460,0.011336,0.007851,0.005131
0.010023,0.026189,1.026208,0.367327,0.002906,0.001761,0.001034,0.000613,0.000228,0.239578,0.148126,0.090411,0.056660,0.034512,0.019614,0.013231,0.008216,0.005410
0.009858,0.027873,0.947786,0.356655,0.002947,0.001868,0.001105,0.000818,0.000278,0.203126,0.129660,0.088750,0.048710,0.030170,0.018654,0.013250,0.008325,0.005352
0.010402,0.026561,0.933872,0.358438,0.002828,0.001756,0.001048,0.000596,0.000243,0.204191,0.128551,0.078268,0.049178,0.029555,0.018511,0.011561,0.007128,0.004708
0.008649,0.027343,0.942400,0.322732,0.002999,0.001836,0.001152,0.000632,0.000233,0.212595,0.129975,0.091569,0.058220,0.035618,0.021888,0.013225,0.008245,0.005122
0.009901,0.025555,0.931633,0.326804,0.002905,0.001767,0.001039,0.000612,0.000227,0.187194,0.136835,0.090575,0.058229,0.036365,0.022798,0.015832,0.009501,0.005074
0.008673,0.026301,0.904037,0.325693,0.002769,0.001707,0.001003,0.000617,0.000226,0.198163,0.133312,0.078146,0.052284,0.032009,0.020051,0.011241,0.007023,0.004495
0.010359,0.026395,0.978340,0.335853,0.003095,0.001770,0.001059,0.000638,0.000234,0.208069,0.141903,0.088820,0.058606,0.044395,0.026318,0.016146,0.008853,0.005327
0.010832,0.027663,0.940706,0.328477,0.002996,0.001825,0.001064,0.000630,0.000234,0.215280,0.129451,0.080195,0.056819,0.035461,0.021883,0.013638,0.008574,0.005313
0.010991,0.027209,1.003220,0.385384,0.002990,0.001816,0.001078,0.000632,0.000236,0.226830,0.133156,0.090069,0.048399,0.029666,0.018509,0.012650,0.008146,0.005140
0.009280,0.028029,0.896290,0.291002,0.006629,0.001867,0.001066,0.000633,0.000231,0.188900,0.120074,0.084120,0.065122,0.045833,0.022007,0.013766,0.009522,0.007798
0.010907,0.026665,0.930302,0.324405,0.002994,0.001772,0.001053,0.000614,0.000228,0.211243,0.131892,0.084001,0.055168,0.030712,0.021019,0.013540,0.008427,0.005311
0.010809,0.048385,1.135810,0.367101,0.004928,0.002550,0.001830,0.001202,0.000437,0.248837,0.153931,0.091530,0.079334,0.044420,0.033700,0.023872,0.013073,0.009073
0.010098,0.028581,0.872697,0.310872,0.002989,0.001822,0.001119,0.000661,0.000255,0.193745,0.122730,0.075056,0.047904,0.030054,0.019081,0.013428,0.008543,0.005399
0.008802,0.026287,0.861975,0.298334,0.002913,0.001780,0.001064,0.000611,0.000228,0.195518,0.127227,0.077190,0.048014,0.029565,0.018401,0.012875,0.007745,0.005084
0.008514,0.027518,0.860268,0.284352,0.002903,0.001781,0.001068,0.000630,0.000232,0.192553,0.122632,0.084381,0.056317,0.030094,0.020106,0.013441,0.008270,0.005111
0.008632,0.022522,0.817371,0.287959,0.002418,0.001466,0.000911,0.000523,0.000192,0.179950,0.121246,0.074177,0.047135,0.029103,0.018049,0.011397,0.007091,0.004330
0.008704,0.022725,0.827954,0.294261,0.002612,0.001694,0.001004,0.000577,0.000223,0.185668,0.118403,0.074099,0.047552,0.029197,0.017937,0.011255,0.007204,0.004564
0.008485,0.023494,0.821398,0.288238,0.002890,0.001746,0.001037,0.000621,0.000226,0.181014,0.118096,0.074279,0.048369,0.030906,0.018053,0.011209,0.007451,0.005018
0.009302,0.022182,0.820220,0.284687,0.002418,0.001457,0.000959,0.000510,0.000189,0.182481,0.117630,0.074435,0.054089,0.029166,0.018172,0.011004,0.006893,0.004367
0.009383,0.025652,0.818176,0.283539,0.002598,0.001654,0.001015,0.000622,0.000226,0.179136,0.117450,0.079155,0.046990,0.029547,0.018181,0.011271,0.007021,0.004457
0.010206,0.028376,0.998747,0.354285,0.002981,0.001860,0.001066,0.000738,0.000298,0.246835,0.123781,0.087475,0.058186,0.033532,0.021440,0.013386,0.008620,0.005281
0.010870,0.027137,1.061850,0.348013,0.002906,0.001838,0.001064,0.000634,0.000273,0.232416,0.158996,0.137678,0.062019,0.030631,0.019959,0.013163,0.008323,0.005498
0.010048,0.038929,1.058799,0.341692,0.004995,0.003651,0.002123,0.001688,0.000408,0.226292,0.161066,0.095490,0.065820,0.040950,0.026930,0.019364,0.010923,0.007712
0.008524,0.026600,0.879779,0.294642,0.002985,0.001808,0.001072,0.000632,0.000232,0.203105,0.131783,0.084389,0.048636,0.029925,0.018740,0.013134,0.008165,0.005082
0.010251,0.023105,0.899432,0.308927,0.002603,0.001653,0.001023,0.000594,0.000232,0.197484,0.134140,0.089243,0.056283,0.032554,0.018218,0.011363,0.007152,0.004293
0.008717,0.027560,0.906953,0.294612,0.003000,0.001887,0.001087,0.000680,0.000245,0.211186,0.138765,0.088768,0.050998,0.031609,0.020667,0.013360,0.008274,0.005140
0.008508,0.022618,0.852298,0.292199,0.002408,0.001474,0.000884,0.000523,0.000212,0.187630,0.135030,0.083477,0.047364,0.029119,0.018299,0.010930,0.006998,0.004335
0.008645,0.024321,0.840904,0.305645,0.002507,0.001571,0.000957,0.000592,0.000213,0.186063,0.117478,0.074407,0.047655,0.029544,0.018195,0.011330,0.006770,0.004707
0.008426,0.022616,0.821989,0.294396,0.002465,0.001519,0.000921,0.000548,0.000203,0.181250,0.116827,0.074544,0.047757,0.029391,0.018082,0.011313,0.006982,0.004490
0.008798,0.029103,0.825846,0.289001,0.002937,0.001812,0.001062,0.000630,0.000234,0.179798,0.116463,0.074476,0.047539,0.029462,0.018314,0.012672,0.008147,0.005117
0.008709,0.022752,0.821369,0.286944,0.002602,0.001658,0.000969,0.000582,0.000205,0.179648,0.125775,0.074875,0.046649,0.028854,0.018149,0.011289,0.007032,0.004363
0.008521,0.023497,0.842771,0.288842,0.002466,0.001461,0.000886,0.000525,0.000200,0.193264,0.117694,0.074378,0.051371,0.035257,0.021072,0.011691,0.006984,0.004359
0.008388,0.022680,0.829976,0.286085,0.002409,0.001525,0.000859,0.000510,0.000188,0.191892,0.121280,0.074546,0.047628,0.029767,0.018351,0.011609,0.007069,0.004908
0.008798,0.023958,0.852090,0.321900,0.002672,0.001699,0.001011,0.000596,0.000221,0.181630,0.117613,0.074985,0.046793,0.028830,0.018141,0.011437,0.006863,0.004671
0.010479,0.022779,0.890076,0.327264,0.002486,0.001572,0.000960,0.000565,0.000203,0.185205,0.130061,0.088706,0.049010,0.029710,0.018212,0.011174,0.006962,0.004406
0.008587,0.027522,0.882093,0.304651,0.003041,0.001817,0.001080,0.000636,0.000232,0.182315,0.125599,0.087107,0.055345,0.035005,0.021801,0.013496,0.008323,0.005180
0.009094,0.022637,0.825701,0.292651,0.002545,0.001636,0.000993,0.000564,0.000209,0.178682,0.116969,0.074787,0.047892,0.031281,0.021364,0.012552,0.007175,0.004374
0.008500,0.026777,0.849308,0.286527,0.002922,0.001805,0.001123,0.000613,0.000228,0.191030,0.125563,0.079983,0.047598,0.030081,0.019585,0.013223,0.008133,0.005132
0.008658,0.022495,0.883625,0.303576,0.002567,0.001458,0.000869,0.000792,0.000231,0.226393,0.117862,0.075360,0.048339,0.031905,0.019439,0.011531,0.007523,0.004316
0.009054,0.022673,0.925727,0.317839,0.002730,0.001773,0.000928,0.000524,0.000193,0.229312,0.119389,0.079284,0.049660,0.036589,0.024956,0.017145,0.008419,0.004873
0.008501,0.024094,0.824786,0.293843,0.002674,0.001714,0.001004,0.000594,0.000222,0.180826,0.119960,0.074142,0.046917,0.029528,0.017989,0.011213,0.006953,0.004341
0.008749,0.022849,0.823674,0.293020,0.002618,0.001697,0.001004,0.000600,0.000210,0.185252,0.116556,0.073445,0.047258,0.029202,0.018423,0.011085,0.006867,0.004545
0.008455,0.024560,0.818627,0.288588,0.002828,0.001702,0.001005,0.000596,0.000221,0.179480,0.118536,0.073996,0.047379,0.030260,0.017740,0.011147,0.006988,0.004877
0.008747,0.022499,0.848856,0.303543,0.002405,0.001472,0.000860,0.000510,0.000191,0.188963,0.120509,0.074316,0.050478,0.031186,0.019552,0.011498,0.007222,0.004583
0.011972,0.026060,0.966421,0.363579,0.002910,0.001753,0.001041,0.000612,0.000227,0.228924,0.129276,0.075579,0.051198,0.029784,0.018478,0.012301,0.007318,0.005077
0.009068,0.036183,0.909722,0.309621,0.003219,0.002096,0.001178,0.000704,0.000242,0.201082,0.130065,0.078551,0.051085,0.035150,0.022091,0.014372,0.008982,0.005592
0.010638,0.030932,0.940139,0.328842,0.003074,0.001903,0.001349,0.000680,0.000249,0.236549,0.120212,0.076398,0.048971,0.030965,0.021494,0.013636,0.008499,0.005405
0.010351,0.027345,0.917314,0.321674,0.002968,0.001856,0.001063,0.000659,0.000226,0.213896,0.122427,0.075806,0.056818,0.034874,0.020204,0.013289,0.008374,0.005139
0.009287,0.027148,0.904835,0.311302,0.002960,0.001827,0.001074,0.000705,0.000233,0.210761,0.131998,0.081943,0.048680,0.030334,0.019392,0.013298,0.008347,0.005184
0.009086,0.026451,0.913090,0.345548,0.002939,0.001793,0.001041,0.000612,0.000227,0.199126,0.131010,0.074632,0.048128,0.029809,0.018502,0.011607,0.007189,0.005042
0.010195,0.026451,0.914602,0.329907,0.002897,0.001766,0.001054,0.000613,0.000227,0.199370,0.143579,0.077453,0.048314,0.029743,0.018533,0.011541,0.007448,0.005145
0.010229,0.028022,0.983371,0.343600,0.003054,0.001878,0.001117,0.000640,0.000233,0.215655,0.144085,0.092001,0.058382,0.036268,0.020096,0.013342,0.008852,0.005502
0.010498,0.029057,0.934286,0.328407,0.003116,0.001916,0.001111,0.000736,0.000226,0.205994,0.129510,0.083249,0.055576,0.035211,0.021629,0.013804,0.008674,0.005186
0.009162,0.027862,0.922945,0.316019,0.003052,0.001760,0.001078,0.000639,0.000233,0.209227,0.123308,0.085622,0.058436,0.036897,0.022225,0.013462,0.008353,0.005191
0.008730,0.026893,0.864426,0.306216,0.002899,0.001762,0.001041,0.000611,0.000225,0.187931,0.119947,0.081365,0.049798,0.033501,0.019218,0.011846,0.007176,0.004896
