/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Experiment/pyflow/output/HoChiMinhTraffic_10FPS_320/timing/HoChiMinhTraffic_10FPS_320_P15.txt
Image Warp,Pyramid Construction,Total Run,[P0],[P10],[P11],[P12],[P13],[P14],[P1],[P2],[P3],[P4],[P5],[P6],[P7],[P8],[P9]
0.008420,0.026957,0.857249,0.289831,0.002571,0.001539,0.000923,0.000538,0.000211,0.194537,0.125261,0.083037,0.049413,0.031425,0.019118,0.011610,0.006964,0.004563
0.008873,0.028830,0.864286,0.295704,0.003098,0.001809,0.001075,0.000630,0.000232,0.191669,0.129491,0.081236,0.048375,0.030155,0.018525,0.011540,0.007492,0.005236
0.009001,0.024118,0.851098,0.293823,0.002625,0.001686,0.001046,0.000611,0.000227,0.191994,0.121244,0.075903,0.051713,0.033371,0.019506,0.012065,0.006969,0.004825
0.012599,0.030087,1.289721,0.428176,0.005041,0.003470,0.001880,0.001143,0.000413,0.263553,0.180973,0.130077,0.096145,0.045791,0.033386,0.036155,0.010937,0.009196
0.011050,0.035711,1.101945,0.357240,0.003713,0.002021,0.001262,0.000754,0.000266,0.217210,0.142385,0.131603,0.074469,0.052909,0.035201,0.019852,0.009006,0.006733
0.013781,0.027403,0.982744,0.386259,0.003122,0.001797,0.001110,0.000639,0.000233,0.188980,0.136093,0.089787,0.057169,0.030709,0.018843,0.012998,0.008191,0.005265
0.007779,0.031325,0.962468,0.333499,0.003222,0.002350,0.001205,0.000754,0.000287,0.198131,0.145075,0.089808,0.059607,0.036878,0.023021,0.014514,0.008973,0.005466
0.009932,0.025906,0.843615,0.289937,0.002540,0.001537,0.000904,0.000558,0.000206,0.185702,0.122250,0.077861,0.050699,0.033378,0.018710,0.011512,0.007133,0.004488
0.020959,0.037393,1.031891,0.310143,0.004618,0.002252,0.001249,0.000775,0.000279,0.190747,0.122222,0.094292,0.114756,0.065752,0.029186,0.018707,0.010785,0.007243
0.013275,0.054104,1.541049,0.455859,0.004049,0.002193,0.001423,0.000865,0.000262,0.303015,0.243317,0.161405,0.154705,0.079513,0.030075,0.018794,0.011090,0.006451
0.010905,0.033125,1.384110,0.452667,0.004622,0.002534,0.001175,0.000712,0.000249,0.404545,0.191948,0.099742,0.073147,0.049705,0.024917,0.015916,0.010600,0.007015
0.009762,0.032960,1.040635,0.307164,0.003182,0.001964,0.001164,0.000701,0.000255,0.232062,0.158606,0.106021,0.074491,0.044551,0.037488,0.014084,0.009388,0.006343
0.009992,0.027505,0.865682,0.293389,0.003016,0.001803,0.001075,0.000651,0.000233,0.190706,0.126807,0.086279,0.048261,0.029531,0.018754,0.013498,0.008490,0.005311
0.009805,0.024938,0.882343,0.307419,0.002917,0.001690,0.001011,0.000622,0.000227,0.195775,0.124566,0.079387,0.055578,0.035760,0.019336,0.011588,0.006960,0.004413
0.008799,0.024832,0.866772,0.300019,0.002777,0.001732,0.001051,0.000613,0.000226,0.201249,0.124225,0.081063,0.048173,0.029973,0.018512,0.011526,0.007186,0.004486
0.009524,0.026435,0.878773,0.321513,0.003009,0.001793,0.001063,0.000650,0.000232,0.190920,0.125618,0.076412,0.048075,0.029669,0.018961,0.011474,0.007907,0.005163
0.008792,0.024739,0.855389,0.311179,0.002461,0.001579,0.000904,0.000523,0.000194,0.191818,0.118962,0.075129,0.047639,0.029655,0.018217,0.011714,0.007079,0.004509
0.008494,0.025202,0.840995,0.302782,0.002755,0.001782,0.001075,0.000631,0.000240,0.181758,0.118704,0.078438,0.048056,0.029721,0.018248,0.011379,0.006993,0.004448
0.009306,0.023489,0.842534,0.297724,0.002992,0.002062,0.001069,0.000639,0.000227,0.182486,0.117985,0.075513,0.047593,0.032615,0.021434,0.013522,0.008239,0.005280
0.011399,0.025995,0.859822,0.308104,0.002979,0.001750,0.001035,0.000612,0.000227,0.182909,0.120762,0.083802,0.047862,0.029981,0.018856,0.011347,0.007011,0.004877
0.010301,0.029597,1.382170,0.418918,0.004676,0.002933,0.001388,0.000697,0.000251,0.294309,0.195940,0.153825,0.124898,0.072978,0.028589,0.017692,0.012525,0.011816
0.010938,0.027050,1.128400,0.371450,0.003174,0.001796,0.001036,0.000622,0.000226,0.247609,0.198295,0.121133,0.056478,0.034922,0.022325,0.016144,0.009065,0.005675
0.013096,0.027590,1.019296,0.429312,0.003013,0.001818,0.001146,0.000657,0.000289,0.211021,0.122209,0.081862,0.048740,0.030352,0.020134,0.013717,0.008551,0.005373
0.013337,0.032815,1.272598,0.463341,0.003467,0.002051,0.001207,0.000715,0.000280,0.294360,0.178755,0.115891,0.066652,0.040678,0.026567,0.015820,0.009791,0.006280
0.012551,0.035074,1.244856,0.422273,0.003911,0.002124,0.001228,0.000713,0.000264,0.262723,0.170302,0.099966,0.077584,0.074460,0.035804,0.022176,0.015052,0.007967
0.014345,0.034442,1.448359,0.402840,0.003489,0.002150,0.001231,0.000792,0.000309,0.336412,0.297163,0.169494,0.081048,0.044823,0.025428,0.016248,0.011058,0.006431
0.010485,0.034857,0.985049,0.325637,0.004296,0.003379,0.001544,0.000717,0.000260,0.222324,0.121311,0.094289,0.064590,0.041864,0.025729,0.016776,0.010313,0.006071
0.010967,0.027232,0.973543,0.368302,0.003169,0.002006,0.001065,0.000642,0.000234,0.220019,0.126961,0.076696,0.051534,0.034729,0.022195,0.013592,0.008497,0.005305
0.010740,0.028104,0.921496,0.300372,0.003243,0.001868,0.001071,0.000628,0.000233,0.202770,0.140693,0.087733,0.057159,0.036043,0.022362,0.014027,0.008586,0.005363
