/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Experiment/pyflow/output/HoChiMinhTraffic_10FPS_320/timing/HoChiMinhTraffic_10FPS_320_P2.txt
Image Warp,Pyramid Construction,Total Run,[P0],[P1]
0.009356,0.005769,0.508963,0.299251,0.194520
0.007448,0.005753,0.499580,0.296873,0.189447
0.007362,0.005512,0.491283,0.289608,0.188732
0.007168,0.005382,0.501404,0.301894,0.186894
0.007427,0.004885,0.495156,0.294841,0.187941
0.008915,0.005401,0.510784,0.308124,0.188263
0.007997,0.005553,0.502255,0.301355,0.187292
0.007268,0.005386,0.502177,0.302569,0.186871
0.007465,0.004958,0.499447,0.296620,0.190345
0.007416,0.004682,0.503398,0.300682,0.190553
0.007504,0.004612,0.491220,0.293470,0.185575
0.007488,0.004686,0.500587,0.292323,0.196032
0.007486,0.005009,0.499294,0.302794,0.183940
0.007501,0.004737,0.504823,0.300715,0.191809
0.007404,0.005171,0.492723,0.293632,0.186458
0.007746,0.004642,0.547091,0.320531,0.214103
0.008709,0.005667,0.538687,0.325074,0.199154
0.007649,0.005616,0.799030,0.468813,0.316880
0.007569,0.005568,0.500896,0.301084,0.186619
0.007439,0.004951,0.488267,0.292971,0.182805
0.007476,0.004743,0.501282,0.298502,0.190428
0.007434,0.005054,0.490686,0.293738,0.184402
0.007317,0.004930,0.497227,0.296037,0.188880
0.009053,0.004907,0.492834,0.293618,0.185197
0.007072,0.005469,0.495836,0.292971,0.190257
0.007245,0.004686,0.489305,0.290112,0.187203
0.007083,0.004630,0.494716,0.293726,0.189217
0.007609,0.004695,0.496868,0.298624,0.185873
0.007614,0.004909,0.497571,0.303685,0.181297
0.007275,0.004644,0.492440,0.295915,0.184552
0.007245,0.005488,0.493140,0.288035,0.192314
0.007237,0.004608,0.486861,0.288507,0.186452
0.007353,0.004627,0.501822,0.299183,0.190600
0.007367,0.005111,0.491514,0.295298,0.183680
0.007417,0.004655,0.501118,0.301192,0.187788
0.007743,0.004739,0.491564,0.295159,0.183869
0.007529,0.005318,0.511905,0.309277,0.189721
0.007347,0.005484,0.500136,0.297089,0.190149
0.007282,0.006249,0.487858,0.285682,0.188582
0.007247,0.004573,0.499864,0.303878,0.184111
0.007291,0.004586,0.495846,0.292120,0.191782
0.007236,0.004598,0.486958,0.294296,0.180770
0.007663,0.004729,0.488149,0.284378,0.191321
0.007314,0.005137,0.498533,0.298607,0.187414
0.007246,0.004648,0.499976,0.287264,0.200761
0.007392,0.004640,0.509540,0.312772,0.184678
0.007458,0.005312,0.497943,0.292449,0.192647
0.007643,0.004940,0.490366,0.294258,0.183450
0.007335,0.005376,0.498174,0.292162,0.193237
0.007100,0.004614,0.490028,0.293451,0.184797
0.007114,0.004588,0.492114,0.289019,0.191334
0.007173,0.004586,0.492680,0.296371,0.184485
0.007302,0.004560,0.495962,0.290901,0.193138
0.007342,0.004529,0.487382,0.292298,0.183152
0.007353,0.005262,0.495082,0.290892,0.191507
0.007248,0.004995,0.490862,0.290617,0.187946
0.007471,0.004894,0.493044,0.288555,0.192050
0.007322,0.005116,0.491489,0.294117,0.184878
0.007271,0.004809,0.492036,0.289581,0.190314
0.007354,0.004602,0.493326,0.296323,0.184980
0.007250,0.005336,0.490017,0.286201,0.191166
0.007079,0.004539,0.489856,0.293113,0.185059
0.007479,0.005279,0.500402,0.294370,0.193211
0.007066,0.005149,0.493272,0.296510,0.184486
0.007571,0.004636,0.491756,0.287859,0.191626
0.007067,0.004523,0.488146,0.291116,0.185377
0.007423,0.004786,0.492054,0.289313,0.190466
0.007422,0.004726,0.493649,0.298140,0.183299
0.007391,0.004620,0.497611,0.292082,0.193457
0.007099,0.004802,0.483121,0.292094,0.179071
0.007104,0.006950,0.501400,0.292939,0.194348
0.012166,0.004845,0.490574,0.287734,0.185767
0.007116,0.005701,0.494230,0.289988,0.191368
0.009163,0.004592,0.497296,0.298587,0.184882
0.007221,0.006745,0.543065,0.304634,0.224402
0.011078,0.004730,0.538277,0.316769,0.205624
0.007471,0.007056,0.544181,0.312519,0.217077
0.007381,0.004652,0.495693,0.293629,0.189971
0.007305,0.005131,0.484313,0.286102,0.185708
0.007245,0.004655,0.504504,0.297992,0.194546
0.007349,0.004560,0.482583,0.285374,0.185235
0.007214,0.005612,0.500920,0.300706,0.187329
0.007415,0.004584,0.485485,0.291512,0.181909
0.007300,0.005223,0.496401,0.294766,0.189058
0.007284,0.004637,0.482756,0.283239,0.187511
0.007571,0.004999,0.499606,0.294319,0.192657
0.007296,0.005257,0.485070,0.286944,0.185507
0.007480,0.005275,0.497670,0.297724,0.187119
0.007339,0.004795,0.486290,0.286177,0.187914
0.007484,0.005355,0.492771,0.293152,0.186719
0.007214,0.004592,0.480940,0.284056,0.185020
0.007474,0.005410,0.500457,0.296863,0.190648
0.007229,0.004706,0.485206,0.288574,0.184635
0.007429,0.005289,0.497486,0.297501,0.187211
0.007407,0.004627,0.481222,0.285598,0.183522
0.007487,0.005219,0.501913,0.295938,0.193213
0.007266,0.005011,0.484687,0.285651,0.186700
0.007436,0.005593,0.492768,0.292529,0.187148
0.007268,0.004590,0.480952,0.286476,0.182556
0.007582,0.004962,0.500024,0.297787,0.189630
0.007273,0.004623,0.481572,0.285144,0.184469
