/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Experiment/pyflow/output/HoChiMinhTraffic_10FPS_800/timing/HoChiMinhTraffic_10FPS_800_P2.txt
Image Warp,Pyramid Construction,Total Run,[P0],[P1]
0.056994,0.036136,3.700730,2.236456,1.371078
0.062762,0.036366,3.681335,2.184239,1.397872
0.064042,0.036548,3.618512,2.127549,1.390314
0.062641,0.036489,3.491566,2.077926,1.314439
0.062191,0.037098,3.553427,2.141988,1.312086
0.063771,0.036411,3.517850,2.097401,1.320199
0.062458,0.036646,3.464922,2.074105,1.291650
0.060153,0.036923,3.484502,2.087681,1.299689
0.058525,0.036101,3.426564,2.050244,1.281631
0.064128,0.037181,3.506402,2.111114,1.293921
0.062815,0.036634,3.587693,2.119931,1.368248
0.060162,0.041205,3.501757,2.102680,1.297645
0.059861,0.036639,3.464460,2.073878,1.294017
0.059517,0.037791,3.628206,2.102717,1.428118
0.063369,0.040428,3.503937,2.109066,1.291010
0.065067,0.036503,3.490440,2.081682,1.307136
0.062668,0.036386,3.497497,2.075516,1.322868
0.063871,0.036798,3.554779,2.160910,1.293135
0.059842,0.036241,3.612661,2.178445,1.338071
0.068111,0.036146,3.705013,2.298169,1.302516
