/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Experiment/pyflow/output/HoChiMinhTraffic_10FPS_800/timing/HoChiMinhTraffic_10FPS_800_P6.txt
Image Warp,Pyramid Construction,Total Run,[P0],[P1],[P2],[P3],[P4],[P5]
0.075388,0.177442,6.081285,2.309084,1.486061,0.947866,0.545021,0.332884,0.207335
0.076594,0.177467,5.971944,2.303164,1.431338,0.888991,0.527095,0.343618,0.223495
0.071859,0.172338,5.985499,2.304288,1.470754,0.908706,0.528617,0.318152,0.210569
0.072075,0.187462,6.292169,2.306851,1.481897,1.001722,0.631825,0.368757,0.241374
0.068647,0.170905,6.037820,2.287051,1.538363,0.905925,0.515948,0.328963,0.221827
0.070755,0.170999,6.107028,2.323828,1.471462,0.928040,0.583297,0.339679,0.218741
0.079550,0.179087,6.045053,2.330627,1.453601,0.898858,0.557590,0.342084,0.203463
0.078748,0.165052,6.109854,2.315471,1.464875,0.963544,0.599264,0.327286,0.195392
0.072505,0.172671,6.526054,2.378508,1.533511,0.981298,0.694255,0.428872,0.264230
0.087563,0.182691,6.562985,2.433429,1.606065,1.062465,0.619215,0.358090,0.213252
0.073671,0.177403,6.200552,2.384482,1.509593,0.908878,0.586360,0.350434,0.209515
0.072927,0.171391,6.061592,2.315563,1.477998,0.895129,0.550590,0.357526,0.220258
0.074559,0.193903,6.340342,2.471815,1.516219,0.910332,0.602056,0.359720,0.211539
0.075590,0.178072,6.272306,2.304100,1.558531,0.918828,0.607574,0.396881,0.232515
0.074459,0.179089,6.369409,2.389641,1.570323,1.008444,0.593291,0.345294,0.208653
0.075232,0.179929,6.076065,2.286636,1.519780,0.927514,0.528545,0.337021,0.221154
0.070608,0.179575,6.117943,2.333060,1.495617,0.928785,0.544129,0.358698,0.207283
0.073161,0.171534,6.089214,2.335672,1.556134,0.886841,0.524525,0.340419,0.200670
0.070275,0.156998,5.998534,2.252611,1.417050,0.959335,0.580374,0.365813,0.195820
0.069409,0.167605,5.755971,2.238541,1.389262,0.857345,0.519773,0.318802,0.195044
0.071684,0.164792,5.951593,2.315344,1.483541,0.887814,0.514581,0.312993,0.200651
0.071280,0.178563,6.063027,2.352500,1.463432,0.896504,0.560786,0.333696,0.206069
0.070799,0.171967,5.940002,2.250996,1.425650,0.867635,0.569937,0.375190,0.207619
0.070445,0.168373,5.883756,2.240496,1.483656,0.894221,0.511440,0.316972,0.197912
0.070168,0.166691,5.746961,2.230790,1.388384,0.863931,0.519513,0.310626,0.196670
0.069257,0.171718,5.711263,2.215214,1.394253,0.845166,0.509424,0.310601,0.195436
0.070007,0.168682,6.231632,2.322707,1.513345,0.939857,0.618239,0.369458,0.229114
0.070154,0.167297,5.897534,2.240633,1.529214,0.852152,0.520060,0.314097,0.203728
0.069101,0.171719,5.677828,2.202696,1.381568,0.842658,0.508053,0.309776,0.192079
0.069115,0.167795,5.706722,2.220588,1.391310,0.850493,0.498295,0.309979,0.198944
0.072041,0.165016,5.805437,2.262492,1.420003,0.861210,0.511050,0.316519,0.196906
0.074531,0.173277,6.509973,2.553769,1.506447,1.027638,0.572771,0.360912,0.240410
0.079630,0.182333,6.453729,2.465356,1.599830,0.989537,0.570618,0.345096,0.221103
0.061724,0.161896,5.515365,2.074984,1.384876,0.820876,0.489812,0.320821,0.200192
0.067130,0.158458,5.639747,2.106207,1.320644,0.923974,0.536091,0.328276,0.198761
0.065941,0.154691,5.448423,2.098367,1.319276,0.802804,0.494740,0.312963,0.199466
0.066032,0.154327,5.588844,2.123869,1.379949,0.859070,0.497324,0.315619,0.192436
0.065489,0.161123,5.624484,2.080735,1.477257,0.842007,0.492822,0.307963,0.196895
0.079909,0.155620,5.489058,2.110121,1.326947,0.817578,0.487809,0.311294,0.199579
0.068260,0.156012,5.729519,2.171213,1.495702,0.843121,0.494439,0.309722,0.190864
0.063971,0.161845,5.478910,2.101789,1.329168,0.818201,0.502422,0.302548,0.198745
0.066370,0.155250,5.660602,2.300790,1.314895,0.816701,0.490227,0.319522,0.196652
0.067505,0.158464,5.529798,2.160251,1.318424,0.818113,0.503110,0.310591,0.193155
0.066656,0.160770,5.457722,2.098401,1.318321,0.813521,0.491037,0.307936,0.200872
0.065248,0.159191,5.639908,2.234861,1.301325,0.882203,0.491395,0.313398,0.192109
0.068552,0.160826,5.554863,2.196138,1.318100,0.802123,0.503280,0.310066,0.195592
0.067812,0.164648,5.827011,2.210012,1.427920,0.891890,0.520583,0.345790,0.198163
0.069943,0.166159,6.027576,2.274835,1.495896,0.918843,0.519196,0.364737,0.217757
0.068272,0.158412,5.998845,2.294635,1.495472,0.896763,0.517089,0.352615,0.215388
0.070690,0.160675,5.833667,2.279647,1.404141,0.861377,0.518439,0.337644,0.200863
0.067610,0.155672,5.849950,2.200559,1.410650,0.901555,0.548040,0.359710,0.205969
0.068469,0.159028,5.927829,2.149541,1.488117,0.927952,0.542814,0.375037,0.216649
0.065378,0.159662,5.609402,2.101974,1.332094,0.844280,0.570364,0.340520,0.194925
0.070923,0.149438,5.563674,2.268382,1.282442,0.806672,0.497118,0.301469,0.187000
0.069166,0.169378,5.942878,2.316427,1.452943,0.849366,0.525626,0.335887,0.223852
0.070778,0.160826,6.008126,2.209137,1.448379,0.951068,0.604512,0.370846,0.192386
0.066684,0.168141,5.866126,2.181253,1.471032,0.890327,0.550137,0.315595,0.222777
0.088287,0.162069,6.187232,2.286037,1.463497,0.944123,0.654188,0.343257,0.245516
0.071492,0.161213,6.122539,2.290560,1.492723,0.921514,0.613445,0.351040,0.220338
0.081357,0.159683,5.976746,2.225734,1.508104,0.914579,0.543671,0.331002,0.212404
0.067539,0.166187,6.036627,2.289250,1.410225,0.900993,0.563001,0.407594,0.231619
0.069813,0.163297,6.006260,2.280399,1.441667,0.912453,0.516893,0.388124,0.233410
0.068951,0.170589,6.098952,2.247266,1.476315,0.954451,0.555554,0.390043,0.235579
0.070757,0.158997,5.814106,2.218194,1.447529,0.884722,0.530075,0.307362,0.196280
0.071307,0.154993,5.896649,2.281154,1.457803,0.872523,0.531184,0.332303,0.195174
0.068646,0.181540,5.957297,2.228594,1.412006,0.859325,0.536233,0.474514,0.196202
