/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Parallel/pyflow/output/HoChiMinhTraffic_10FPS_320/timing/HoChiMinhTraffic_10FPS_320_P6_C3.txt
Total C++ Execution,Total Flow Calculation,Total Pyramid Calculation
0.514393,0.469022,0.484243
0.515010,0.469876,0.485050
0.514204,0.469097,0.484403
0.516773,0.470646,0.486699
0.514456,0.468781,0.484144
0.517430,0.472521,0.487615
0.516576,0.470901,0.486524
0.514157,0.469336,0.484638
0.511911,0.465870,0.481103
0.514163,0.468946,0.484236
0.514693,0.469233,0.484341
0.514203,0.468107,0.484138
0.517904,0.472195,0.488028
0.516390,0.470578,0.486561
0.519826,0.474355,0.489648
0.517013,0.471871,0.487161
0.518804,0.474172,0.489394
0.511375,0.466406,0.481648
0.514302,0.468868,0.484256
0.513815,0.468130,0.483902
0.516768,0.471579,0.487344
0.518033,0.472246,0.487753
0.518712,0.473387,0.488754
0.514194,0.467504,0.482931
0.512223,0.466941,0.482277
0.512076,0.466746,0.482076
0.521086,0.475679,0.491099
0.522453,0.474901,0.490687
0.513934,0.467995,0.483417
0.513639,0.468294,0.483634
0.592892,0.533325,0.549178
0.594818,0.534256,0.550411
0.512791,0.467092,0.482465
0.486768,0.443537,0.458350
0.484216,0.440578,0.455474
0.484155,0.440888,0.455614
0.496718,0.452847,0.467828
0.540717,0.492785,0.508748
0.540099,0.483821,0.499491
0.505964,0.461617,0.476781
0.490598,0.446987,0.461857
0.503344,0.460061,0.475051
0.500149,0.454475,0.469733
0.499336,0.455604,0.470536
0.491897,0.448053,0.463369
0.490672,0.447058,0.462423
0.505469,0.457035,0.472148
0.515040,0.470273,0.485593
0.505675,0.460598,0.475990
0.579515,0.533003,0.550024
0.569285,0.523666,0.539501
0.498396,0.452832,0.467860
0.493717,0.449651,0.464516
0.496314,0.452159,0.467405
0.531970,0.485107,0.501140
0.559585,0.507356,0.523643
0.589220,0.538853,0.554325
0.536006,0.487938,0.503797
0.533526,0.486836,0.502370
0.529453,0.479369,0.495186
0.530430,0.484468,0.499926
0.514172,0.468966,0.484315
0.517974,0.472481,0.487943
0.516546,0.470804,0.486157
0.516558,0.470610,0.485988
0.514694,0.469229,0.484498
0.518062,0.472385,0.487671
0.514964,0.469552,0.484684
0.512782,0.467289,0.482792
0.516083,0.468340,0.483633
0.515213,0.469060,0.484403
0.520359,0.474718,0.490216
0.511549,0.466221,0.481852
0.513519,0.467800,0.483317
0.513635,0.467517,0.482792
0.518018,0.472384,0.487588
0.512980,0.467816,0.483155
0.515437,0.469565,0.485593
0.514268,0.468640,0.483902
0.523337,0.477317,0.493189
0.518804,0.472387,0.487682
0.514399,0.469361,0.484568
0.514910,0.469100,0.484254
0.517187,0.471287,0.486810
0.517533,0.472037,0.487499
0.512213,0.466896,0.482305
0.512366,0.467033,0.482392
0.525244,0.477048,0.493210
0.532004,0.481165,0.497449
0.519373,0.472595,0.488547
0.510019,0.464325,0.479479
0.583177,0.534069,0.550851
0.537416,0.485515,0.501020
0.547065,0.496135,0.511999
0.513902,0.467463,0.483058
0.535801,0.489685,0.505170
0.563008,0.514088,0.529966
0.534908,0.485447,0.501100
0.527427,0.481272,0.496903
0.520437,0.472968,0.490136
0.516011,0.467304,0.482586
0.514135,0.468353,0.483618
0.513778,0.469014,0.484117
0.521960,0.474979,0.490627
0.543383,0.495598,0.511696
0.539634,0.487907,0.509084
0.575814,0.526655,0.545560
0.512440,0.465969,0.481672
0.514787,0.469230,0.484662
0.513826,0.467121,0.482358
0.515060,0.469706,0.485169
0.513746,0.467408,0.482653
0.511657,0.466256,0.481637
0.515572,0.469437,0.485177
0.514380,0.468377,0.483660
0.528583,0.479703,0.495389
0.530687,0.484676,0.500046
0.512724,0.466069,0.481385
0.516660,0.469202,0.485829
0.512612,0.467275,0.482497
0.515440,0.469932,0.485241
