/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Parallel/pyflow/output/HoChiMinhTraffic_10FPS_320/timing/HoChiMinhTraffic_10FPS_320_P6_C1.txt
Total C++ Execution,Total Flow Calculation,Total Pyramid Calculation
0.799986,0.751652,0.766877
0.772964,0.727967,0.743403
0.769504,0.724362,0.739908
0.775845,0.730175,0.745046
0.812059,0.766187,0.782507
0.907056,0.856943,0.874257
0.840039,0.789024,0.804685
0.767927,0.723232,0.738121
0.773268,0.728350,0.743184
0.767785,0.722179,0.737064
0.775326,0.730213,0.745199
0.774014,0.729290,0.744215
0.775569,0.730379,0.746108
0.765467,0.720812,0.735843
0.769023,0.724314,0.739378
0.773359,0.728823,0.743566
0.770862,0.725691,0.740805
0.773854,0.728685,0.743795
0.780712,0.733870,0.749007
0.774773,0.729911,0.744871
0.773745,0.728195,0.744666
0.769296,0.724142,0.738943
0.767680,0.723031,0.737891
0.768049,0.723800,0.739006
0.771836,0.726533,0.741446
0.774062,0.730092,0.744779
0.769561,0.725518,0.740366
0.771724,0.726825,0.742508
0.769362,0.725412,0.740267
0.772376,0.727756,0.742705
0.789629,0.741537,0.756726
0.769720,0.725406,0.740216
0.766009,0.722037,0.736969
0.783005,0.731368,0.746208
0.762738,0.717481,0.733230
0.771664,0.726047,0.741057
0.764220,0.719037,0.733620
0.769315,0.722651,0.737753
0.766717,0.722845,0.737857
0.766376,0.720976,0.736119
0.769390,0.724412,0.739472
0.769753,0.724477,0.739490
0.763521,0.719141,0.734157
0.768224,0.721575,0.736878
0.770920,0.726316,0.741511
0.770352,0.726554,0.741316
0.765837,0.721817,0.736711
0.776239,0.730244,0.745779
0.775336,0.728975,0.743996
0.771254,0.725145,0.740007
0.763499,0.718670,0.733471
0.759385,0.715058,0.729838
0.764776,0.719875,0.734870
0.766091,0.720638,0.735929
0.764393,0.719965,0.734878
0.760882,0.716651,0.731459
0.766364,0.722122,0.736923
0.764223,0.720455,0.735660
0.764654,0.720415,0.735327
0.762340,0.717621,0.732587
0.762718,0.716615,0.732017
0.766680,0.721204,0.736004
0.765330,0.720386,0.735076
0.768925,0.721938,0.737067
0.781989,0.737028,0.752283
0.806079,0.759601,0.775217
0.893216,0.843257,0.862119
0.908174,0.852030,0.869778
0.804558,0.755243,0.770665
0.791598,0.746573,0.761852
0.783931,0.738639,0.753718
0.796286,0.749441,0.764524
0.791734,0.745853,0.760885
0.794010,0.746472,0.761862
0.783364,0.736981,0.752642
0.784114,0.737569,0.752700
0.783097,0.737844,0.752911
0.770489,0.725446,0.740467
0.777936,0.731280,0.747706
0.768464,0.723641,0.738686
0.772258,0.728028,0.742856
0.764933,0.720201,0.734963
0.768603,0.723594,0.738957
0.771864,0.726611,0.741604
0.773917,0.728380,0.743278
0.774498,0.728499,0.743352
0.769081,0.724788,0.739598
0.770893,0.724821,0.740282
0.764639,0.719718,0.734567
0.767321,0.722641,0.737580
0.768402,0.723556,0.738512
0.770742,0.725693,0.740684
0.769627,0.724947,0.739796
0.762932,0.718540,0.733446
0.772831,0.723954,0.738982
0.772464,0.727753,0.742675
0.769581,0.723425,0.738510
0.769827,0.724624,0.739587
0.768549,0.724151,0.739030
0.775407,0.730499,0.745369
0.773768,0.729060,0.744178
0.772052,0.727411,0.742571
0.777806,0.731761,0.747131
0.837548,0.786963,0.802478
0.861226,0.809586,0.831011
0.769777,0.725225,0.740300
0.769215,0.724798,0.740160
0.767801,0.722688,0.737511
0.763528,0.719005,0.733583
0.764750,0.719990,0.735240
0.767632,0.722984,0.738112
0.774292,0.729882,0.744777
0.761783,0.717958,0.732870
0.766412,0.721690,0.736938
0.768484,0.723365,0.738524
0.770788,0.726279,0.741111
0.766117,0.720910,0.736047
0.766385,0.721376,0.736483
0.763021,0.718480,0.733355
0.766836,0.721975,0.737122
0.765014,0.720237,0.734912
0.764289,0.719202,0.734191
0.766272,0.720869,0.735871
0.764518,0.718483,0.733447
0.772769,0.728131,0.743143
0.765804,0.721815,0.736574
0.765095,0.719735,0.734644
0.762826,0.717258,0.732824
0.773017,0.727441,0.742465
0.764389,0.719622,0.734352
0.768481,0.723262,0.738324
0.763473,0.718628,0.733551
0.764647,0.718503,0.734808
0.892433,0.834364,0.849714
0.875538,0.824683,0.840322
0.880571,0.827408,0.843103
0.868042,0.819617,0.835155
0.858026,0.804480,0.820735
0.793374,0.745901,0.761540
0.784181,0.739731,0.754793
0.784127,0.739263,0.754836
0.774909,0.729067,0.744526
0.785442,0.734620,0.749954
0.777767,0.733047,0.748053
0.782777,0.737234,0.752691
0.782367,0.737179,0.752292
0.773996,0.728746,0.744041
0.782037,0.737455,0.752714
