/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Parallel/pyflow/output/HoChiMinhTraffic_10FPS_1920/timing/HoChiMinhTraffic_10FPS_1920_P6_C1.txt
Total C++ Execution,Total Flow Calculation,Total Pyramid Calculation
36.223762,33.520665,34.268321
36.117845,33.391852,34.109132
35.013478,32.394108,33.092832
35.471596,32.913461,33.610754
34.919375,32.263529,33.009532
35.155230,32.510878,33.213368
34.552621,31.937485,32.628683
34.918165,32.312062,33.005172
34.462499,31.927642,32.622115
34.623065,32.087781,32.773323
34.801465,32.283186,32.963744
35.070167,32.289113,32.987586
34.836795,32.185954,32.876239
34.632025,32.193180,32.881549
34.480057,31.871491,32.668427
34.312482,31.728218,32.510792
34.827052,32.232497,32.930969
34.917957,32.332802,33.056774
36.101457,33.368073,34.063578
35.704291,33.106207,33.815750
34.430123,31.819102,32.557597
34.643234,32.150618,32.843451
34.971794,32.301553,32.996525
34.525149,32.066759,32.763033
34.727997,32.127323,32.843692
34.026397,31.527750,32.212185
34.562691,32.041099,32.726293
34.480143,31.919362,32.608142
34.997674,32.304026,33.001247
34.586280,32.053109,32.741391
34.536359,31.927303,32.703963
34.568993,32.002155,32.692802
34.465387,31.936174,32.621977
34.548852,31.904431,32.606998
34.938068,32.204670,32.907594
34.601992,32.037475,32.732314
34.667389,32.061058,32.757555
34.102387,31.653670,32.340262
34.409396,31.854792,32.531335
34.525102,31.860708,32.542776
34.442754,31.823421,32.501774
34.438724,31.902094,32.579861
34.010322,31.557964,32.241836
34.368626,31.849996,32.529133
34.349126,31.982150,32.651820
36.470501,33.867929,34.535048
37.252244,34.559093,35.279714
34.843750,32.252033,32.948469
34.603465,32.030556,32.713379
34.733611,32.251427,32.933257
34.954034,32.346827,33.044032
35.051529,32.426212,33.123691
34.657064,32.170152,32.856491
34.640837,32.008857,32.700433
34.397764,31.871558,32.549800
34.542693,31.966245,32.648207
34.470758,31.832840,32.501956
34.234278,31.653178,32.333739
34.309891,31.750638,32.460398
34.351676,31.811517,32.487551
34.393818,31.821772,32.504785
34.132316,31.554525,32.244185
35.441042,32.768990,33.455094
34.699189,32.142677,32.822406
34.066010,31.515868,32.199808
34.208514,31.675637,32.350584
34.304018,31.770731,32.442983
34.587636,31.899446,32.579519
34.425760,31.797094,32.470091
33.865776,31.333357,32.010088
34.558364,32.021202,32.709559
36.990098,34.372625,35.112450
35.125221,32.532141,33.229068
34.710132,31.981150,32.683508
34.548853,32.059201,32.739503
34.583231,32.042727,32.735171
34.380088,31.819764,32.500978
34.644276,32.064894,32.753309
34.672495,31.865537,32.578431
34.612042,31.990579,32.687845
34.760826,32.174333,32.871181
34.461760,31.863356,32.611008
34.432117,31.850840,32.584201
34.195402,31.786707,32.509617
34.954605,32.312529,33.025089
34.217036,31.604284,32.299607
34.532682,32.078056,32.773783
34.554083,31.951313,32.642164
34.810449,32.165410,32.851697
34.414419,31.906554,32.586220
34.780953,32.146243,32.827207
34.782524,32.265386,32.930213
35.139635,32.339693,33.161343
34.942758,32.385551,33.058723
34.650856,32.102971,32.778854
34.603321,31.971082,32.641228
34.591792,31.964673,32.653792
36.812037,34.240856,34.932366
34.599811,32.042967,32.726228
34.719083,32.147891,32.835470
34.628436,31.937060,32.613976
34.672026,32.008024,32.710081
34.626758,31.965583,32.656794
