/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Parallel/pyflow/output/HoChiMinhTraffic_10FPS_1920/timing/HoChiMinhTraffic_10FPS_1920_P6_C2.txt
Total C++ Execution,Total Flow Calculation,Total Pyramid Calculation
27.701068,25.144337,25.838171
27.593833,24.980994,25.680415
27.263195,24.737893,25.441142
27.560223,25.021984,25.704166
27.443530,24.892534,25.572932
27.532661,24.938923,25.622881
29.285617,26.540563,27.349453
27.555456,24.987570,25.666483
27.278953,24.694574,25.387088
26.727525,24.089308,24.766504
27.222279,24.571899,25.255077
27.565690,24.930434,25.605332
27.084852,24.591634,25.261094
27.304886,24.759734,25.465383
26.649409,24.106484,24.790130
27.370181,24.837005,25.515296
27.117600,24.569834,25.249389
27.339443,24.757001,25.473826
29.461757,26.669092,27.638005
28.244724,25.658613,26.384193
27.545231,24.956172,25.677848
27.652684,24.959375,25.737819
27.756002,25.197021,25.886566
27.554825,24.996096,25.688118
27.469159,24.919537,25.616893
27.285575,24.660294,25.341668
27.330517,24.651786,25.338250
27.186323,24.541301,25.230905
27.702283,25.091954,25.799815
27.768253,25.181816,25.873394
27.550408,24.994101,25.683391
27.729532,25.023501,25.718175
27.251458,24.679256,25.368665
27.566864,24.992311,25.688945
27.236936,24.633917,25.334891
27.721904,25.062257,25.809941
27.372886,24.784521,25.507479
27.031351,24.748170,25.434354
27.442460,24.885900,25.577394
27.476840,24.940633,25.629731
25.895979,23.261739,23.915256
26.800288,24.266912,24.945624
27.340227,24.671283,25.349141
27.574063,25.017907,25.690575
26.736180,24.157828,24.838498
27.223121,24.665265,25.372827
27.041165,24.545987,25.217863
27.034518,24.416260,25.098980
27.418872,25.014568,25.795176
27.569322,25.004953,25.721234
27.422432,24.915166,25.590417
30.538471,27.913988,28.637503
28.476310,25.834414,26.538579
27.644762,25.095674,25.788148
27.741874,25.211274,25.899699
27.269482,24.714107,25.397191
27.453455,24.677152,25.363609
28.315432,25.194474,25.885874
27.915572,25.037774,25.745611
27.359504,24.689865,25.386764
27.865337,25.069931,25.773039
27.469340,24.757819,25.457002
28.660693,26.035091,26.736383
27.096356,24.508590,25.187577
27.804619,25.226540,25.927869
27.991572,25.453433,26.149826
27.835740,25.241154,25.987422
26.990611,24.442108,25.127545
28.068736,25.319586,26.201489
28.133007,25.057330,25.740107
27.550290,24.979314,25.681258
27.509427,24.934106,25.619928
27.210218,24.710224,25.392726
27.337424,24.789291,25.471883
27.266826,24.677427,25.351265
27.449113,24.796016,25.469192
27.316192,24.602054,25.280557
27.414177,24.819748,25.493984
27.098207,24.480504,25.160880
28.834933,26.247304,26.975614
27.059624,24.460199,25.168027
28.057662,25.460459,26.154092
27.715553,25.194000,25.877454
28.424556,25.931498,26.624037
27.526465,24.951661,25.692823
27.966138,25.382338,26.063556
27.491787,24.946464,25.629660
27.611972,24.803155,25.753665
28.100823,25.591702,26.276526
27.612935,24.990770,25.671828
29.757879,27.234467,27.907327
29.844011,27.195278,27.928952
28.474202,25.902165,26.621347
27.911112,25.315109,25.998228
27.744463,25.179910,25.869871
27.588651,25.056983,25.741779
27.309055,24.769124,25.462841
27.529233,24.724457,25.410168
27.444490,24.801231,25.501413
27.672375,24.903028,25.590466
27.700204,25.049318,25.755445
28.181117,25.438027,26.170760
28.063305,25.451975,26.166325
28.709841,26.299092,27.047876
