/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Experiment/pyflow/output/HoChiMinhTraffic_10FPS_1920/timing/HoChiMinhTraffic_10FPS_1920_P6.txt
Image Warp,Pyramid Construction,Total Run,[P0],[P1],[P2],[P3],[P4],[P5]
0.567653,1.232113,39.497826,14.348063,9.667397,6.083792,3.931009,2.368797,1.295410
0.695089,1.175139,39.463939,14.671999,9.258641,5.958120,3.941573,2.388739,1.373065
0.553179,1.157325,36.731636,14.398303,7.941080,5.814765,3.508093,2.122147,1.235412
0.511839,1.204956,38.127943,14.229731,9.234168,5.802416,3.634986,2.192693,1.315715
0.522134,1.115111,38.175713,14.177096,9.138251,6.085478,3.566076,2.212856,1.356657
0.552110,1.130773,37.387042,13.600614,9.148345,5.824015,3.593073,2.213145,1.321750
0.585238,1.151438,37.680483,13.925982,8.910478,5.751482,3.714427,2.268069,1.370784
0.569821,1.245518,38.443721,14.435609,9.319709,5.602957,3.756284,2.293621,1.219605
0.608305,1.184985,38.114715,13.999305,9.087719,5.975995,3.632077,2.266179,1.358635
0.554476,1.419969,38.200420,13.729554,9.111395,6.019088,3.649662,2.301254,1.413405
0.593686,1.120870,39.028763,14.151229,9.197860,6.469172,3.726743,2.355666,1.411845
0.550220,1.086824,37.674349,14.362418,9.129839,5.793624,3.512641,2.006543,1.230585
0.666800,1.152312,38.522071,14.463010,9.091110,5.809077,3.701328,2.272111,1.364541
0.541676,1.227968,38.407348,14.284022,9.316613,5.792666,3.657550,2.240512,1.344169
0.907513,1.190162,38.375359,14.183103,9.117303,5.579847,3.685847,2.280658,1.427678
0.843990,1.159065,37.944961,14.061155,9.330129,5.752491,3.451312,2.059681,1.284271
0.991448,1.119042,37.323563,13.982157,8.947723,5.503634,3.162735,2.336927,1.278147
0.899824,1.172375,38.667736,14.522258,8.978794,5.893085,3.649681,2.242692,1.306207
0.977054,1.156651,38.759836,14.175285,9.329829,5.787778,3.638433,2.340644,1.352404
0.953759,1.205720,37.325045,13.777167,8.845400,5.207006,3.750330,2.202192,1.381434
0.945656,1.122326,38.007236,14.387898,9.282466,5.532864,3.418406,2.051329,1.264425
0.943861,1.113216,38.711046,14.443849,9.247832,5.906258,3.550569,2.120691,1.382771
0.933292,1.121117,38.533954,14.250626,9.062105,5.795083,3.720622,2.278217,1.370508
0.906906,1.110783,38.363337,14.188351,9.027688,5.914158,3.415671,2.409575,1.386877
0.979055,1.176056,40.527546,15.198422,9.411422,6.252271,3.739893,2.396248,1.372328
0.969259,1.220910,39.749092,14.622820,9.518355,5.993539,3.683594,2.354114,1.383361
0.937551,1.147668,38.771692,14.705954,8.830877,5.761693,3.604546,2.294881,1.487367
0.984933,1.203580,39.109846,14.405198,9.339513,5.892270,3.701168,2.281915,1.296410
0.818264,1.403210,38.605114,14.525273,8.729278,5.961253,3.556758,2.228076,1.380502
0.961962,1.155019,39.422530,15.010114,9.314841,5.695725,3.570787,2.402184,1.309797
