/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Parallel/pyflow/output/HoChiMinhTraffic_10FPS_1920/timing/HoChiMinhTraffic_10FPS_1920_P6_C3.txt
Total C++ Execution,Total Flow Calculation,Total Pyramid Calculation
24.715150,22.060071,22.746370
24.863092,22.247014,22.932815
24.784443,22.228637,22.915590
25.884952,23.228239,23.923723
25.867479,23.234050,23.944408
25.414394,22.734760,23.468379
25.990663,23.405301,24.151717
25.706804,23.103986,23.822961
26.031650,23.331771,24.034653
25.024760,22.411611,23.115240
25.630651,22.849419,23.557038
25.207041,22.580692,23.298477
25.363160,22.680735,23.397781
25.671311,23.079383,23.772619
24.861357,22.345512,23.035540
24.980566,22.461185,23.141283
24.584618,22.018196,22.690859
24.972551,22.421838,23.095608
24.875334,22.173255,22.852689
24.198800,21.684164,22.357517
26.153911,23.618295,24.292944
25.995246,23.387191,24.071835
24.779171,22.213718,22.883727
24.394821,21.818228,22.503911
24.885197,22.168780,22.848154
31.087727,27.672967,28.431716
31.404597,28.085036,28.901705
36.352311,32.632052,33.412047
30.043685,26.641331,27.365154
37.116541,33.082627,34.117467
37.751461,33.783474,34.744933
35.572565,32.012440,32.944473
32.041049,28.400952,29.277683
32.957688,29.201197,30.076417
31.688826,28.402062,29.276252
31.932838,28.569931,29.448063
33.085211,29.849503,30.739942
