/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Thorough/output/HoChiMinhTraffic_10FPS_320/timing/HoChiMinhTraffic_10FPS_320_P6_C2.txt
Total C++ Execution,Total Flow Calculation,Total Pyramid Calculation
0.598466,0.551222,0.567001
0.604803,0.555774,0.571523
0.609069,0.562256,0.577719
0.612673,0.564811,0.580391
0.612586,0.566138,0.582191
0.597047,0.551579,0.567180
0.597346,0.551616,0.567317
0.604735,0.556321,0.571881
0.592132,0.544993,0.560208
0.614574,0.569385,0.585247
0.604422,0.556025,0.572418
0.634411,0.582372,0.599644
0.621469,0.571331,0.588186
