/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Thorough/output/HoChiMinhTraffic_10FPS_320/timing/HoChiMinhTraffic_10FPS_320_P6_C4.txt
Total C++ Execution,Total Flow Calculation,Total Pyramid Calculation
0.478082,0.433300,0.448440
0.530540,0.486161,0.501326
0.486769,0.440689,0.455906
0.568216,0.518883,0.534541
0.532916,0.486910,0.502316
0.535033,0.488447,0.503985
0.492440,0.447002,0.462352
0.496282,0.450868,0.466265
0.496412,0.450400,0.465859
0.490361,0.444477,0.459906
0.530685,0.480628,0.496794
0.521242,0.471821,0.488135
0.514708,0.468051,0.483994
