/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Parallel/pyflow/output/HoChiMinhTraffic_10FPS_800/timing/HoChiMinhTraffic_10FPS_800_P6_C4.txt
Total C++ Execution,Total Flow Calculation,Total Pyramid Calculation
3.278387,2.976948,3.079851
3.293767,2.988370,3.093133
3.280502,2.977622,3.080002
3.490490,3.165262,3.270617
3.317157,3.013138,3.116415
3.290227,2.978866,3.082900
3.273315,2.966460,3.068139
3.268651,2.967045,3.070223
3.266101,2.963309,3.064743
3.280346,2.969097,3.076743
3.271539,2.966530,3.074218
3.337568,3.011089,3.127944
3.422263,3.095639,3.201859
3.317239,3.017281,3.118383
3.289540,2.982182,3.085474
3.295970,2.991522,3.096495
3.272047,2.964638,3.067827
3.286339,2.984093,3.086411
3.280159,2.977809,3.080353
3.283139,2.978304,3.081922
3.311894,2.995993,3.098173
3.495630,3.177594,3.286412
3.312188,3.001642,3.105043
3.286489,2.981944,3.085719
3.349488,3.047980,3.149381
3.292238,2.982812,3.085947
3.267690,2.959502,3.062207
3.287898,2.978504,3.081827
3.314619,3.001780,3.107257
3.322805,3.012212,3.118350
3.399078,3.063169,3.170880
3.305845,3.005683,3.106793
3.272692,2.969649,3.071774
3.271162,2.970049,3.071465
3.277550,2.969400,3.074756
3.268814,2.967396,3.069355
3.274925,2.965092,3.073068
3.306996,2.999432,3.100426
3.358864,3.051782,3.154528
3.346265,3.032588,3.140067
3.257313,2.953442,3.055704
3.272642,2.959712,3.064228
3.286163,2.979186,3.085832
3.383326,3.074319,3.177980
3.259868,2.954079,3.055522
3.321736,3.019096,3.120452
3.294031,2.987002,3.088616
3.412654,3.112230,3.213830
3.428664,3.073428,3.176645
3.306877,2.998509,3.101316
3.260884,2.957873,3.060302
3.281501,2.972250,3.076078
3.284526,2.981072,3.084481
3.288869,2.979829,3.083090
3.291253,2.988722,3.091491
3.263414,2.958745,3.059999
3.437490,3.114139,3.219935
3.337410,2.991591,3.098383
3.288004,2.986746,3.088493
3.265783,2.960902,3.062383
3.273976,2.966041,3.068710
3.280340,2.975300,3.077813
3.266209,2.960033,3.061323
3.275111,2.969485,3.071693
3.262975,2.962660,3.064599
3.481293,3.172378,3.278883
3.296211,2.982439,3.086317
3.277822,2.976051,3.077470
3.288224,2.983547,3.087521
3.305000,2.990440,3.097070
3.347720,3.037784,3.141873
3.292956,2.989211,3.094739
3.287426,2.973367,3.079399
3.277331,2.970805,3.074197
3.453997,3.135715,3.243663
3.278759,2.965208,3.074319
3.305929,2.998671,3.102777
3.762281,3.453507,3.554139
4.008575,3.649695,3.765617
3.490483,3.143695,3.254581
3.431081,3.111236,3.219083
3.535936,3.220729,3.330107
3.464971,3.147913,3.255047
3.324473,3.003769,3.109119
3.336932,3.009972,3.114684
3.308103,2.988257,3.095678
3.307787,2.990132,3.096424
3.314023,2.998660,3.104377
3.311993,3.000249,3.104491
3.311178,2.998388,3.101675
3.327654,3.014459,3.120420
3.484591,3.157907,3.268995
3.339443,3.020376,3.127881
3.319864,3.007904,3.115277
3.320408,2.995556,3.101474
3.318453,3.004124,3.108967
3.350760,3.029916,3.137260
3.316748,2.997199,3.109469
3.336176,3.008715,3.113858
3.388077,3.079199,3.183252
3.490370,3.167703,3.274828
3.316273,3.003093,3.108321
3.330899,3.011254,3.117820
3.317015,3.001109,3.104186
