/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Parallel/pyflow/output/HoChiMinhTraffic_10FPS_800/timing/HoChiMinhTraffic_10FPS_800_P6_C1.txt
Total C++ Execution,Total Flow Calculation,Total Pyramid Calculation
5.211075,4.895610,5.011297
5.142499,4.831264,4.936789
5.145309,4.845050,4.946975
5.650723,5.335662,5.444137
5.276619,4.955482,5.066523
5.437969,5.119276,5.228916
5.488999,5.188825,5.296359
5.573763,5.269082,5.377696
5.403800,5.085950,5.191989
5.517576,5.206655,5.314555
5.202210,4.899221,4.997546
5.153657,4.852608,4.949612
5.313413,5.006807,5.102725
5.140937,4.847766,4.947245
5.532833,5.217246,5.335664
5.469281,5.149109,5.255754
5.156460,4.855830,4.956305
5.216346,4.919976,5.020766
6.218850,5.883890,6.002102
5.246487,4.923313,5.023559
5.191996,4.897944,4.996805
5.172959,4.884045,4.981303
5.170532,4.879259,4.977505
5.419052,5.117198,5.214599
5.568108,5.251143,5.362908
5.164263,4.851359,4.956195
5.248525,4.933576,5.037441
5.138918,4.831343,4.935073
5.129500,4.822090,4.924121
5.558337,5.248534,5.357813
5.175901,4.886253,4.985004
5.175483,4.881056,4.978387
5.148008,4.852373,4.948750
5.150207,4.852327,4.949571
5.140735,4.844084,4.941391
5.333615,5.032583,5.132001
5.242806,4.940100,5.047391
5.423661,5.124900,5.231072
5.564928,5.238063,5.363232
5.329740,5.005828,5.114577
5.386866,5.078686,5.174551
5.269645,4.962866,5.064424
5.448918,5.138925,5.241664
5.575629,5.264231,5.376322
5.480642,5.158923,5.261872
5.381314,5.036385,5.142709
5.641693,5.308223,5.444124
5.222760,4.927231,5.028082
5.236141,4.926033,5.023572
5.606743,5.278779,5.388957
5.499217,5.166573,5.277229
6.322096,5.974777,6.094073
5.498362,5.143831,5.269437
5.182548,4.871838,4.975167
5.231156,4.910232,5.019746
5.280931,4.963307,5.065425
5.183332,4.877145,4.980194
5.570415,5.230491,5.347040
5.277665,4.958999,5.063287
5.185603,4.873859,4.976254
5.180022,4.857839,4.965868
5.153439,4.842657,4.944978
5.314864,5.000735,5.102619
5.164724,4.852223,4.954411
5.149458,4.833565,4.938224
5.161771,4.848864,4.952963
5.133682,4.830052,4.931973
5.151647,4.841812,4.944199
5.323870,5.014017,5.117278
5.169287,4.853929,4.959313
5.167788,4.850025,4.956214
5.177678,4.864195,4.973708
5.131514,4.824255,4.929666
5.160698,4.848531,4.951749
5.424326,5.106816,5.217732
5.168572,4.850465,4.955656
5.220189,4.901381,5.007525
5.168672,4.859759,4.962876
5.168583,4.861654,4.965412
5.234804,4.922843,5.026949
5.401372,5.080114,5.184987
5.181603,4.872751,4.976517
5.180474,4.861084,4.964615
5.171599,4.853744,4.957928
5.150569,4.838332,4.942395
5.385965,5.073886,5.179029
5.173833,4.849161,4.954924
5.179232,4.860387,4.969351
5.142522,4.832677,4.936910
5.131479,4.826664,4.928000
5.118961,4.812293,4.915785
5.865515,5.502596,5.631054
5.227471,4.876030,4.980736
5.193394,4.865552,4.974812
5.185182,4.865000,4.973870
5.161647,4.855626,4.958787
5.228945,4.920933,5.022875
5.833980,5.418782,5.527195
5.207872,4.895499,5.001187
5.182170,4.864044,4.970119
5.184724,4.871925,4.974859
5.156958,4.852527,4.954088
5.487248,5.165015,5.274106
5.189036,4.874605,4.980424
