/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Parallel/pyflow/output/HoChiMinhTraffic_10FPS_800/timing/HoChiMinhTraffic_10FPS_800_P6_C2.txt
Total C++ Execution,Total Flow Calculation,Total Pyramid Calculation
3.888437,3.583327,3.690175
3.893880,3.591475,3.695450
4.034694,3.729773,3.830458
3.929967,3.620498,3.722540
3.912318,3.603486,3.710150
3.942030,3.635465,3.739061
3.934574,3.624672,3.730428
3.931877,3.621739,3.725136
4.092981,3.781076,3.889721
3.925740,3.617758,3.722198
3.914399,3.602623,3.707299
3.920162,3.609760,3.713030
3.925096,3.617906,3.723225
3.914360,3.608797,3.710730
3.908901,3.601890,3.706097
3.955136,3.643036,3.746892
4.051434,3.735400,3.843295
3.920130,3.610429,3.715603
3.930461,3.625968,3.729323
3.937955,3.630445,3.732636
3.929603,3.619108,3.721896
4.342671,4.020034,4.133545
4.381539,4.068495,4.171129
4.602057,4.255012,4.370629
4.128927,3.813899,3.920351
4.425003,4.075591,4.185937
4.282271,3.959772,4.077062
4.284429,3.945286,4.052685
3.967198,3.640573,3.747209
3.922162,3.617009,3.719031
4.703409,4.350333,4.471370
4.033621,3.692237,3.798278
3.949031,3.642618,3.744574
3.944150,3.631884,3.736984
3.945364,3.632117,3.734094
3.934779,3.621616,3.725963
3.927421,3.619965,3.723023
4.146139,3.807287,3.940752
3.933973,3.622660,3.728167
3.916938,3.609574,3.713931
3.934134,3.624147,3.727697
3.921651,3.617159,3.719213
3.940426,3.629901,3.732998
3.911840,3.604724,3.706514
3.939455,3.627801,3.730436
4.042948,3.722001,3.833682
3.938682,3.624800,3.727696
3.934536,3.623424,3.727374
3.937107,3.626342,3.731586
3.945878,3.631118,3.734419
3.920417,3.611357,3.714097
3.919766,3.607387,3.715151
4.257218,3.941625,4.049221
4.045785,3.725731,3.832109
3.938127,3.625436,3.728112
3.918390,3.611218,3.714465
3.945011,3.633837,3.735562
3.920528,3.609294,3.716279
3.924087,3.610752,3.713678
3.989873,3.679281,3.783169
4.025160,3.710182,3.813675
3.931256,3.613702,3.727758
3.918792,3.610564,3.716575
3.914106,3.607279,3.710282
3.948841,3.633238,3.738762
3.919176,3.610756,3.715908
3.926677,3.616724,3.722371
4.031224,3.726801,3.829782
3.937683,3.622891,3.731164
3.910758,3.599149,3.705530
3.926665,3.615633,3.719536
3.932254,3.621361,3.726203
3.930047,3.623152,3.725156
3.902115,3.593017,3.699370
3.969349,3.654519,3.759100
4.032013,3.708622,3.819054
3.935393,3.622490,3.730859
3.938138,3.626249,3.733804
4.036625,3.724582,3.831615
4.037375,3.709182,3.818312
3.911756,3.602305,3.706912
3.919803,3.613191,3.715876
4.072185,3.761360,3.864648
3.918036,3.608572,3.713470
3.949149,3.627797,3.737309
3.910325,3.601618,3.705498
3.942397,3.634204,3.737264
3.918219,3.604814,3.708583
3.904033,3.594779,3.700060
3.959268,3.639734,3.745341
4.010047,3.682602,3.792900
3.926533,3.618933,3.720618
3.926962,3.615304,3.720287
3.935771,3.604478,3.713659
3.909007,3.598404,3.701321
3.913163,3.600874,3.706423
3.915685,3.609122,3.710922
4.063220,3.746731,3.860086
3.920125,3.606160,3.713933
3.926279,3.612105,3.716955
3.920415,3.609620,3.712592
3.931269,3.622584,3.727973
3.930002,3.611553,3.723201
3.910737,3.604218,3.708734
4.422290,4.080213,4.206497
