/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Thorough/output/HoChiMinhTraffic_10FPS_800_Original/timing/HoChiMinhTraffic_10FPS_800_Original_P6_C4.txt
Hello from Image.h!,Total C++ Execution,Total Flow Calculation,Total Pyramid Calculation
69.0,3.867104,3.503322,3.623071
69.0,3.860331,3.493481,3.614699
69.0,3.833300,3.471956,3.589317
69.0,3.729814,3.373461,3.491353
69.0,3.831379,3.472798,3.591288
69.0,3.863340,3.503303,3.622362
69.0,3.802367,3.440899,3.560486
69.0,3.914324,3.520787,3.640468
69.0,4.013761,3.609569,3.727384
69.0,3.807990,3.443040,3.562773
