/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Thorough/output/HoChiMinhTraffic_10FPS_800_Original/timing/HoChiMinhTraffic_10FPS_800_Original_P6_C2.txt
Hello from Image.h!,Total C++ Execution,Total Flow Calculation,Total Pyramid Calculation
69.0,4.511225,4.135077,4.256686
69.0,4.722522,4.342569,4.474070
69.0,4.343645,3.979917,4.099032
69.0,4.387973,4.012752,4.135535
69.0,4.351532,3.996339,4.112770
69.0,4.441099,4.090842,4.207090
69.0,4.487529,4.107570,4.224123
69.0,4.431209,4.071022,4.189461
69.0,4.663100,4.292365,4.416712
69.0,4.492487,4.130744,4.247605
