/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Parallel/pyflow/output/HoChiMinhTraffic_10FPS_800/timing/HoChiMinhTraffic_10FPS_800_P6_C3.txt
Total C++ Execution,Total Flow Calculation,Total Pyramid Calculation
3.739202,3.410879,3.526805
3.502517,3.200761,3.302754
3.492017,3.189117,3.290918
3.547476,3.234795,3.338377
3.848801,3.507411,3.626936
3.634159,3.310905,3.419404
3.533640,3.222293,3.325474
3.537034,3.224537,3.328292
3.545574,3.232864,3.338804
3.519360,3.208425,3.312887
3.515600,3.202227,3.305714
3.514820,3.202287,3.304905
3.833615,3.479141,3.621619
3.535048,3.219558,3.324825
3.515847,3.195058,3.299762
3.539386,3.221276,3.327001
3.521661,3.210521,3.317084
3.539355,3.229084,3.334185
3.537461,3.222553,3.327474
3.517530,3.209225,3.311976
3.680075,3.365129,3.473459
3.566458,3.249270,3.353103
3.523749,3.212060,3.315161
3.518476,3.207094,3.313338
3.518168,3.211780,3.313953
3.508393,3.197655,3.300418
3.513946,3.205111,3.311703
3.504507,3.200120,3.302551
3.547155,3.236189,3.341605
3.659014,3.337204,3.442795
3.547559,3.237566,3.341234
3.515013,3.196343,3.300954
3.509608,3.198812,3.303466
3.516567,3.203316,3.306142
3.499767,3.192359,3.295538
3.515035,3.204399,3.307891
3.507351,3.199285,3.302084
3.693537,3.369475,3.487041
3.522748,3.213071,3.315593
3.516085,3.198809,3.306116
3.510401,3.199346,3.304374
3.525373,3.218193,3.323193
3.499246,3.186876,3.292294
3.540096,3.224636,3.331923
3.505186,3.199869,3.301074
3.790077,3.466688,3.576445
3.607778,3.276194,3.384628
3.600373,3.281949,3.387864
3.584980,3.269866,3.373277
3.503691,3.193793,3.300566
3.524143,3.208961,3.312801
3.520128,3.209975,3.314297
3.494740,3.187887,3.290590
3.563178,3.254562,3.359393
3.604744,3.288078,3.392039
3.510615,3.202885,3.305845
3.521120,3.213076,3.315740
3.512871,3.203602,3.307577
3.526267,3.214191,3.318303
3.526370,3.213341,3.315506
3.500293,3.185968,3.293044
3.515647,3.204462,3.307071
3.658758,3.333237,3.453403
3.529655,3.215786,3.321431
3.525975,3.205735,3.311013
3.538077,3.229370,3.334163
3.509346,3.197827,3.305922
3.505442,3.197319,3.301114
3.509047,3.199046,3.303992
3.507224,3.195661,3.301314
3.597825,3.262208,3.372431
3.543895,3.213002,3.316212
3.531963,3.224053,3.329437
3.520131,3.198211,3.304696
3.520216,3.204717,3.311293
3.539631,3.225401,3.331632
3.500476,3.195664,3.298883
3.504193,3.195293,3.297953
3.561611,3.242931,3.347182
3.638996,3.320074,3.428599
3.529892,3.216116,3.321612
3.512454,3.203139,3.305386
3.530806,3.224123,3.327905
3.511349,3.197051,3.302433
3.505821,3.195288,3.299277
3.507543,3.193545,3.299945
3.510896,3.200397,3.306155
3.736384,3.408458,3.520467
3.525887,3.212986,3.318922
3.638344,3.328182,3.433617
3.498988,3.185170,3.286714
3.518392,3.212415,3.314879
3.477274,3.165339,3.270945
3.494163,3.188102,3.292385
3.470479,3.162456,3.265483
3.649947,3.332923,3.444805
3.497244,3.193345,3.296789
3.474259,3.168333,3.271945
3.489590,3.179259,3.281942
3.469200,3.165484,3.266577
3.487602,3.173060,3.278719
3.483323,3.177421,3.281710
3.469941,3.167180,3.268274
3.530244,3.210541,3.316181
